id,source,supplier_name,supplier_normalized,contract_number,title,description,category,eligible_industries,contract_type,start_date,end_date,geographic_coverage,diversity_status,contract_url,supplier_url,status
1,OMNIA,ODP Business Solutions,ODP BUSINESS SOLUTIONS,OMNIA-0001,"Office, Print, Breakroom & Janitorial Solutions","Office, Print, Breakroom & Janitorial Solutions","Corporate Services, Facilities","Enterprise, Corporate, Private Equity, Real Estate",,,,Canada,,https://www.omniapartners.com/suppliers/odp-business-solutions/private-sector,https://www.omniapartners.com/suppliers/odp-business-solutions/private-sector,active
2,OMNIA,ODP Business Solutions Workspace Interiors,ODP BUSINESS SOLUTIONS WORKSPACE INTERIORS,OMNIA-0002,Furniture & Workspace Solutions,Furniture & Workspace Solutions,"Corporate Services, Furniture","Enterprise, Corporate, Private Equity, Real Estate",,,,Canada,,https://www.omniapartners.com/suppliers/odp-business-solutions-workspace-interiors/private-sector,https://www.omniapartners.com/suppliers/odp-business-solutions-workspace-interiors/private-sector,active
3,OMNIA,Fastenal,FASTENAL,OMNIA-0003,"Hardware, MRO & Industrial Supplies","Hardware, MRO & Industrial Supplies",Facilities,"Enterprise, Corporate, Private Equity, Real Estate",,,,Mexico; Canada; Global,,https://www.omniapartners.com/suppliers/fastenal/private-sector,https://www.omniapartners.com/suppliers/fastenal/private-sector,active
4,OMNIA,Cintas,CINTAS,OMNIA-0004,"Uniforms, Mats, First Aid, Fire & Safety Solutions","Uniforms, Mats, First Aid, Fire & Safety Solutions",Facilities,"Enterprise, Corporate, Private Equity, Real Estate",,,,Canada,,https://www.omniapartners.com/suppliers/cintas/private-sector,https://www.omniapartners.com/suppliers/cintas/private-sector,active
5,OMNIA,Cintas,CINTAS,OMNIA-0005,Branded Apparel,Branded Apparel,"Corporate Services, Facilities","Enterprise, Corporate, Private Equity, Real Estate",,,,Canada,,https://www.omniapartners.com/suppliers/cintas/private-sector,https://www.omniapartners.com/suppliers/cintas/private-sector,active
6,OMNIA,Enterprise Mobility,ENTERPRISE MOBILITY,OMNIA-0006,Car & Truck Rental,Car & Truck Rental,"Travel, Corporate Services","Enterprise, Corporate, Private Equity, Real Estate",,,,Mexico; Canada; Global,,https://www.omniapartners.com/suppliers/enterprise-holdings/private-sector,https://www.omniapartners.com/suppliers/enterprise-holdings/private-sector,active
7,OMNIA,Grainger,GRAINGER,OMNIA-0007,"Industrial, MRO, and Safety Solutions","Industrial, MRO, and Safety Solutions",Facilities,"Enterprise, Corporate, Private Equity, Real Estate",,,,Mexico,,https://www.omniapartners.com/suppliers/grainger/private-sector,https://www.omniapartners.com/suppliers/grainger/private-sector,active
8,OMNIA,Amazon Business,AMAZON BUSINESS,OMNIA-0008,Online Marketplace,Online Marketplace,Corporate Services,"Enterprise, Corporate, Private Equity, Real Estate",,,,United States,,https://www.omniapartners.com/suppliers/amazon-business/private-sector,https://www.omniapartners.com/suppliers/amazon-business/private-sector,active
9,OMNIA,Sterling,STERLING,OMNIA-0009,Background Checks & Drug Screening,Background Checks & Drug Screening,Human Resources,"Enterprise, Corporate, Private Equity, Real Estate",,,,Mexico; Canada; Global,,https://www.omniapartners.com/suppliers/sterling-talent-solutions/private-sector,https://www.omniapartners.com/suppliers/sterling-talent-solutions/private-sector,active
10,OMNIA,Weichert,WEICHERT,OMNIA-0010,Workforce Mobility & Corporate Housing,Workforce Mobility & Corporate Housing,"Human Resources, Corporate Services, Travel","Enterprise, Corporate, Private Equity",,,,Mexico; Canada; Global,,https://www.omniapartners.com/suppliers/weichert-workforce-mobility/private-sector,https://www.omniapartners.com/suppliers/weichert-workforce-mobility/private-sector,active
